Date,Team,Acquired,Relinquished,Notes
2000-11-16,Hornets,, Otis Thorpe,placed on IL with strained left foot
2000-11-16,Hornets, Lee Nailon,,activated from IL
2000-11-17,Bucks,, Scott Williams,placed on IL with lower back spasms
2000-11-17,Suns,, Chris Dudley,placed on IL with sprained left ankle
2000-11-17,Suns, Tom Gugliotta,,activated from IL
2000-11-17,Timberwolves,, Sam Jacobson,placed on IL with left knee patella tendinitis
2000-11-17,Timberwolves, Todd Day,,activated from IL
2000-11-18,Clippers,, Brian Skinner,placed on IL with sprained right ankle
2000-11-18,Clippers, Zendon Hamilton,,activated from IL
2000-11-18,Hornets,, Derrick Coleman,placed on IR with poor conditioning / heart medication
2000-11-18,Hornets, Terrance Roberson,,activated from IL
2000-11-18,Raptors,, Garth Joseph,placed on IL with bruised ribs
2000-11-18,Raptors, Michael Stewart,,activated from IL
2000-11-18,Sonics, Olumide Oyedeji,,activated from IL
2000-11-20,76ers,, Todd MacCulloch,placed on IL with left ankle tendinitis
2000-11-20,76ers, Matt Geiger,,activated from IL
2000-11-20,Clippers,, Zendon Hamilton,placed on IL with strained lower back
2000-11-20,Clippers, Earl Boykins,,activated from IL
2000-11-20,Grizzlies,, Michael Dickerson,placed on IL with sprained left ankle
2000-11-20,Grizzlies, Doug West,,activated from IL
2000-11-20,Pistons,, Billy Owens,placed on IL with back spasms
2000-11-20,Pistons, Torraye Braggs,,activated from IL
2000-11-21,Bulls,, Jake Voskuhl,placed on IL with strained right hip flexor
2000-11-21,Bulls, Dalibor Bagaric,,activated from IL
2000-11-21,Pacers,, Tyus Edney,placed on IL with plantar fasciatis in left foot
2000-11-21,Pacers, Bruno Sundov,,activated from IL
2000-11-21,Warriors, Bob Sura,,activated from IL
2000-11-22,Cavaliers,, Vernell Coles / Bimbo Coles,placed on IL with left knee inflammation
2000-11-22,Celtics,, Adrian Griffin,placed on IL with sore lower back
2000-11-22,Celtics, Jerome Moiso,,activated from IL
2000-11-22,Pacers,, Sam Perkins,placed on IL with back spasms
2000-11-22,Spurs,, Jaren Jackson (Sr.),placed on IL with sprained left ankle
2000-11-22,Spurs, Ira Newble,,activated from IL
2000-11-23,Pacers, Terry Mills,,activated from IL
2000-11-24,Hawks,, Jim Jackson,placed on IL with sprained MCL in right knee
2000-11-24,Knicks,, Felton Spencer,placed on IL with sprained right knee
2000-11-24,Knicks, Luc Longley,,activated from IL
2000-11-27,Knicks,, Charlie Ward,placed on IR recovering from surgery on right knee
2000-11-27,Knicks, Jonathan Kerner,,activated from IL
2000-11-28,Cavaliers,, J.R. Reid,placed on IL with patellar tendinitis in both knees
2000-11-28,Cavaliers, Wesley Person,,activated from IL
2000-11-28,Celtics,, Mark Blount,placed on IL with sprained right ankle
2000-11-28,Celtics, Randy Brown,,activated from IL
2000-11-28,Clippers,, Earl Boykins,placed on IL with bruised right knee
2000-11-28,Hawks, Dion Glover,,activated from IL
2000-11-29,Clippers, Brian Skinner,,activated from IL
2000-11-29,Pistons, Dana Barros,,activated from IL
2000-11-29,Spurs,, Samaki Walker,placed on IL with sprained ankle
2000-11-29,Spurs, Shawnelle Scott,,activated from IL
2000-11-30,Bulls,, A.J. Guyton,placed on IL with sprained right knee
2000-12-01,76ers,, Juan Sanchez / Pepe Sanchez,placed on IR with bursitis in left hip
2000-12-01,76ers, Todd MacCulloch,,activated from IL
2000-12-01,Bucks,, Michael Redd,placed on IL with sprained right ankle
2000-12-01,Bulls, Jake Voskuhl,,activated from IL
2000-12-01,Cavaliers,, Michael Hawkins,placed on IL with sprained left ankle
2000-12-01,Cavaliers, Brevin Knight,,activated from IL
2000-12-01,Timberwolves,, Reggie Slater,placed on IL with right knee tendinitis
2000-12-01,Timberwolves, Tom Hammonds,,activated from IL
2000-12-01,Warriors,, Adonal Foyle,placed on IR with ligament damage in right ring finger
2000-12-02,Bucks, Scott Williams,,activated from IL
2000-12-02,Celtics,, Chris Herren,placed on IR with bone spurs in right shoulder
2000-12-02,Nuggets,, Tariq Abdul-Wahad / Olivier Saint-Jean,placed on IR with peritonsillar abcess
2000-12-02,Nuggets,, Terry Davis,placed on IL with right Achilles tendinitis
2000-12-02,Nuggets, Ryan Bowen,,activated from IL
2000-12-02,Pacers,, Bruno Sundov,placed on IL with strained hamstring
2000-12-03,Celtics, Adrian Griffin,,activated from IL
2000-12-03,Pacers, Sam Perkins,,activated from IL
2000-12-04,Wizards,, Mitch Richmond,placed on IR with partially torn MCL in left knee
2000-12-04,Wizards, Laron Profit,,activated from IL
2000-12-05,Grizzlies,, Kevin Edwards,placed on IL with fractured left thumb
2000-12-05,Grizzlies, Michael Dickerson,,activated from IL
2000-12-05,Pistons,, John Wallace,placed on IL with knee injury
2000-12-05,Pistons, Billy Owens,,activated from IL
2000-12-05,Raptors,, Kornel David,placed on IL with back spasms
2000-12-05,Raptors, Garth Joseph,,activated from IL
2000-12-06,Pistons, Brian Cardinal,,activated from IL
2000-12-06,Warriors,, Chris Mullin,placed on IR with inflammation and cartilage damage in left knee
2000-12-06,Warriors, Vonteego Cummings,,activated from IL
2000-12-07,Mavericks,, Greg Buckner,placed on IL with sprained right foot
2000-12-07,Mavericks, Donnell Harvey,,activated from IL
2000-12-07,Suns,, Ruben Garces,placed on IL with sprained lower back
2000-12-07,Suns, Chris Dudley,,activated from IL
2000-12-08,Rockets,, Jason Collier,placed on IL with surgery on right knee
2000-12-08,Suns,, Iakovos Tsakalidis / Jake Tsakalidis,placed on IR after dental surgery
2000-12-09,76ers,, Eric Snow,placed on IR with stress fracture of right ankle
2000-12-09,76ers, Juan Sanchez / Pepe Sanchez,,activated from IL
2000-12-09,Pistons,, Jerome Williams,placed on IL with sprained right ankle
2000-12-09,Pistons, Brian Cardinal,,activated from IL
2000-12-10,Celtics,, Chris Carr (Dean),placed on IL with sprained left ankle
2000-12-10,Celtics, Kenny Anderson,,activated from IL
2000-12-11,Magic, Grant Hill,,activated from IL
2000-12-12,Cavaliers,, Brevin Knight,placed on IL with sore right knee
2000-12-12,Cavaliers, Michael Hawkins,,activated from IL
2000-12-12,Hawks,, Chris Crawford (Lee),placed on IL with sprained left ankle and sore right big toe
2000-12-12,Hawks, Jim Jackson,,activated from IL
2000-12-12,Warriors,, Chris Mills,placed on IR with right ankle inflammation
2000-12-12,Warriors, Adonal Foyle,,activated from IL
2000-12-13,Hornets,, Terrance Roberson,placed on IL with right knee tendinitis
2000-12-13,Hornets, Otis Thorpe,,activated from IL
2000-12-13,Pacers,, Terry Mills,placed on IL with sprained right ankle
2000-12-13,Pacers, Bruno Sundov,,activated from IL
2000-12-13,Spurs,, Avery Johnson,placed on IL with bruised left quadriceps & sore left hamstring
2000-12-13,Spurs,, Shawnelle Scott,placed on IL with left patella tendinitis
2000-12-13,Spurs, Derrick Dial,,activated from IL
2000-12-13,Spurs, Samaki Walker,,activated from IL
2000-12-14,Raptors,, Garth Joseph,placed on IL with strained right groin
2000-12-14,Raptors, Kornel David,,activated from IL
2000-12-15,Bulls,, Jake Voskuhl,placed on IL with left foot tendinitis
2000-12-15,Bulls, Bryce Drew,,activated from IL
2000-12-15,Cavaliers,, Chris Mihm,placed on IR with high right ankle sprain
2000-12-15,Cavaliers, J.R. Reid,,activated from IL
2000-12-15,Grizzlies,, Mahmoud Abdul-Rauf / Chris Jackson,placed on IL with back spasms
2000-12-15,Grizzlies, Kevin Edwards,,activated from IL
2000-12-15,Hawks,, Jim Jackson,placed on IL with sprained right knee
2000-12-15,Hawks, Roshown McLeod,,activated from IL
2000-12-15,Rockets,, Carlos Rogers,placed on IL with sprained left knee
2000-12-15,Rockets, Kelvin Cato,,activated from IL
2000-12-15,Timberwolves,, Todd Day,placed on IL with hyperextended left knee
2000-12-15,Timberwolves, Sam Jacobson,,activated from IL
2000-12-17,Mavericks,, Eduardo Najera,placed on IL with strained right groin
2000-12-17,Mavericks, Gary Trent,,activated from IL
2000-12-17,Pistons,, Jud Buechler,placed on IR with chip fracture in right ankle
2000-12-17,Pistons, John Wallace,,activated from IL
2000-12-18,76ers, Ademola Okulaja,,activated from IL
2000-12-18,Sonics, Olumide Oyedeji,,activated from IL
2000-12-19,Bulls,, Dalibor Bagaric,placed on IL with right knee tendinitis
2000-12-19,Bulls, Brad Miller,,activated from IL
2000-12-19,Celtics, Chris Carr (Dean),,activated from IL
2000-12-19,Hawks,, Alan Henderson,placed on IL with sprained left shoulder
2000-12-19,Hornets, Terrance Roberson,,activated from IL
2000-12-19,Lakers,, Devean George,placed on IR with sore throat & ear infection
2000-12-19,Lakers, Stanislav Medvedenko,,activated from IL
2000-12-19,Suns,, Mario Elie,placed on IL with broken left hand
2000-12-19,Suns, Ruben Garces,,activated from IL
2000-12-19,Timberwolves,, Tom Hammonds,placed on IR with bilateral synovitis
2000-12-19,Timberwolves, Reggie Slater,,activated from IL
2000-12-20,Celtics,, Walter McCarty,placed on IL with right knee tendinitis
2000-12-20,Nuggets,, Tariq Abdul-Wahad / Olivier Saint-Jean,placed on IR with peritonsillar abcess in throat
2000-12-20,Nuggets, Calbert Cheaney,,activated from IL
2000-12-21,Hornets,, Eddie Robinson,placed on IR with bruised tailbone
2000-12-22,Heat,, Anthony Carter,placed on IL with strained right groin
2000-12-22,Heat, Dan Majerle,,activated from IL
2000-12-23,76ers,, Juan Sanchez / Pepe Sanchez,placed on IR with bursitis in left hip
2000-12-23,Blazers,, Erick Barkley,placed on IL with left knee tendinitis
2000-12-23,Blazers, Gary Grant,,activated from IL
2000-12-23,Cavaliers,, Wesley Person,placed on IR with sruised ulnar nerve in right elbow
2000-12-23,Cavaliers, Brevin Knight,,activated from IL
2000-12-25,Pacers,, Bruno Sundov,placed on IL with strained right groin
2000-12-25,Pacers, Tyus Edney,,activated from IL
2000-12-26,Cavaliers,, Zydrunas Ilgauskas,placed on IR with stress fracture of lavicular bone in left foot
2000-12-26,Cavaliers, Chris Mihm,,activated from IL
2000-12-26,Hawks, Jim Jackson,,activated from IL
2000-12-26,Hornets, Derrick Coleman,,activated from IL
2000-12-27,Magic,, Grant Hill,placed on IL with broken left ankle (out for season)
2000-12-27,Pistons, John Wallace,,activated from IL
2000-12-28,Celtics,, Jerome Moiso,placed on IL with sprained right ankle
2000-12-28,Celtics, Mark Blount,,activated from IL
2000-12-28,Pistons,, Brian Cardinal,placed on IL with tendinitis in both knees
2000-12-28,Pistons, Jerome Williams,,activated from IL
2000-12-28,Rockets, Carlos Rogers,,activated from IL
2000-12-29,Wizards,, Laron Profit,placed on IL with back spasms
2000-12-29,Wizards, Ronald Jones / Popeye Jones,,activated from IL
2000-12-30,Grizzlies,, Grant Long,placed on IR with fractured right thumb
2000-12-30,Grizzlies, Mahmoud Abdul-Rauf / Chris Jackson,,activated from IL
2000-12-30,Suns,, Ruben Garces,placed on IR with bulging disc
2000-12-30,Suns, Iakovos Tsakalidis / Jake Tsakalidis,,activated from IL
2000-12-31,Grizzlies, William Cunningham,,activated from IL
2001-01-01,Celtics,, Tony Battie,placed on IL with sprained left ankle
2001-01-02,Celtics, Walter McCarty,,activated from IL
2001-01-02,Grizzlies, Brent Price,,activated from IL
2001-01-02,Pacers, Terry Mills,,activated from IL
2001-01-03,Pacers,, Tyus Edney,placed on IL with sprained left ankle
2001-01-03,Pistons,, Jerome Williams,placed on IL with sprained right ankle
2001-01-03,Pistons, Jud Buechler,,activated from IL
2001-01-04,Heat,, Don MacLean,placed on IR with tendinitis in right / left quadricep
2001-01-04,Heat, Anthony Carter,,activated from IL
2001-01-05,76ers,, Matt Geiger,placed on IL with sore right knee
2001-01-05,76ers, Juan Sanchez / Pepe Sanchez,,activated from IL
2001-01-05,Hornets,, Tim James,placed on IL with tendinitis in both knees
2001-01-05,Hornets, Eddie Robinson,,activated from IL
2001-01-05,Knicks, Pete Mickeal,,activated from IL
2001-01-05,Nets,, Soumaila Samake,placed on IL with left knee tendinitis
2001-01-05,Nets, Keith Van Horn,,activated from IL
2001-01-06,Hawks, Alan Henderson,,activated from IL
2001-01-07,Clippers,, Keyon Dooling,placed on IL with viral syndrome
2001-01-07,Clippers, Earl Boykins,,activated from IL
2001-01-07,Knicks,, Rick Brunson,placed on IL with plantar fasciatis in right foot
2001-01-07,Knicks, Charlie Ward,,activated from IL
2001-01-07,Suns, Anfernee Hardaway / Penny Hardaway,,activated from IL
2001-01-07,Timberwolves,, Sam Jacobson,placed on IL with right knee patella tendinitis
2001-01-07,Timberwolves, Todd Day,,activated from IL
2001-01-08,Warriors,, Erick Dampier,placed on IL recovering from surgery on left knee
2001-01-08,Warriors, Chris Mullin,,activated from IL
2001-01-09,Lakers,, Mike Penberthy,placed on IL with strained right shoulder
2001-01-09,Lakers, Tyronn Lue,,activated from IL
2001-01-09,Rockets,, Hakeem Olajuwon,placed on IR with swollen right knee
2001-01-09,Rockets, Jason Collier,,activated from IL
2001-01-09,Spurs,, Sean Elliott,placed on IR with small tear in right rotator cuff
2001-01-09,Spurs, Jaren Jackson (Sr.),,activated from IL
2001-01-10,Celtics,, Adrian Griffin,placed on IL with sore lower back
2001-01-10,Celtics, Jerome Moiso,,activated from IL
2001-01-10,Kings,, Lawrence Funderburke,placed on IL with strained right knee
2001-01-12,Kings, Jabari Smith (Sr.),,activated from IL
2001-01-12,Nuggets,, Calbert Cheaney,placed on IL with strained left hamstring
2001-01-12,Nuggets, Mamadou N'diaye,,activated from IL
2001-01-13,Hawks, Chris Crawford (Lee),,activated from IL
2001-01-14,Suns,, Daniel Santiago,placed on IL with plantar fasciatis in left foot
2001-01-14,Suns, Mario Elie,,activated from IL
2001-01-15,Clippers,, Corey Maggette,placed on IR with mild concussion
2001-01-15,Clippers, Keyon Dooling,,activated from IL
2001-01-15,Nuggets,, Aleksandar Radojevic,placed on IL recovering from surgery on back
2001-01-15,Nuggets, Tariq Abdul-Wahad / Olivier Saint-Jean,,activated from IL
2001-01-16,Suns,, Anfernee Hardaway / Penny Hardaway,placed on IL with acute inflammation of soft tissue and soreness in left knee
2001-01-17,Hawks,, Matt Maloney,placed on IR with a strained right hand
2001-01-17,Wizards,, Obinna Ekezie,placed on IL with back spasms
2001-01-17,Wizards, Laron Profit,,activated from IL
2001-01-18,Bulls,, Michael Ruffin,placed on IR with broken finger on right hand (out 2 months)
2001-01-18,Bulls, Dalibor Bagaric,,activated from IL
2001-01-18,Sonics,, Ruben Wolkowyski,placed on IR with strained back
2001-01-19,Grizzlies,, Kevin Edwards,placed on IL with right Achilles tendinitis
2001-01-19,Grizzlies, Grant Long,,activated from IL
2001-01-19,Knicks,, Lavor Postell,placed on IL with strained lower back
2001-01-19,Knicks, Felton Spencer,,activated from IL
2001-01-19,Lakers,, Stanislav Medvedenko,placed on IL with right knee tendinitis
2001-01-19,Lakers, Devean George,,activated from IL
2001-01-21,Kings,, Jabari Smith (Sr.),placed on IL with right knee tendinitis
2001-01-21,Kings, Lawrence Funderburke,,activated from IL
2001-01-22,Blazers,, Gary Grant,placed on IR with right knee effusion (soreness)
2001-01-22,Blazers, Erick Barkley,,activated from IL
2001-01-22,Cavaliers,, Matt Harpring,placed on IR recovering from surgery on left ankle
2001-01-22,Cavaliers, Vernell Coles / Bimbo Coles,,activated from IL
2001-01-23,Jazz,, Quincy Lewis,placed on IL with right knee tendinitis
2001-01-23,Jazz, John Crotty,,activated from IL
2001-01-23,Nets,, Jim McIlvaine,placed on IL with strained right calf and partially torn Achilles tendon (out 4-6 weeks)
2001-01-23,Nets, Soumaila Samake,,activated from IL
2001-01-23,Nuggets,, Garth Joseph,placed on IL with strained left groin
2001-01-23,Nuggets, Calbert Cheaney,,activated from IL
2001-01-23,Raptors,, Mamadou N'diaye,placed on IL with strained right groin
2001-01-23,Raptors, Tyrone Bogues / Muggsy Bogues,,activated from IL
2001-01-24,Pistons,, Eric Montross,placed on IL with hyperextended left elbow
2001-01-24,Pistons, Jerome Williams,,activated from IL
2001-01-24,Rockets,, Kelvin Cato,placed on IL with partially torn left rotator cuff
2001-01-24,Rockets, Hakeem Olajuwon,,activated from IL
2001-01-24,Suns,, Tom Gugliotta,placed on IL with sore left knee
2001-01-24,Suns, Daniel Santiago,,activated from IL
2001-01-25,Blazers,, Scottie Pippen (Sr.),placed on IR with right elbow tendinitis
2001-01-25,Blazers, Antonio Harvey,,activated from IL
2001-01-25,Jazz,, David Benoit,placed on IR with strained right deltoid muscle
2001-01-25,Jazz, Scott Padgett,,activated from IL
2001-01-25,Mavericks,, Donnell Harvey,placed on IR with right elbow tendinitis
2001-01-25,Mavericks, Greg Buckner,,activated from IL
2001-01-25,Spurs,, Ira Newble,placed on IL with sprained right wrist
2001-01-25,Spurs, Shawnelle Scott,,activated from IL
2001-01-25,Wizards,, Laron Profit,placed on IL with back spasms
2001-01-25,Wizards, Mitch Richmond,,activated from IL
2001-01-26,Hawks,, Brevin Knight,placed on IL with strained right groin
2001-01-26,Hornets,, Eldridge Recasner,placed on IL with bronchitis
